id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
ark://27927/phx82drmvp9,"First implication of STRA6 mutations in isolated anophthalmia, microphthalmia, and coloboma: A new dimension to the STRA6 phenotype",Human Mutation,2011,10.1002/humu.21590,article,,portico,,2011-12-01,12,32,http://doi.org/10.1002/humu.21590,Elaine Kenny; Regina Regan; Sean Ennis; Peter Tormey; Maria Morrissey; Paul Cormican; Jens E. Nielsen; Andrew Green; Muireann Ní Chróinín; Paul McGettigan; Hui Sun; Judith Conroy; Breandan N. Kennedy; Riki Kawaguchi; Jillian Casey; Derek W. Morris; SallyAnn Lynch,"John Wiley & Sons, Inc.",eng,1417,1426,,microphthalmia; vitamin; mutation; coloboma; irish traveller; zebrafish; retinol; malformations; patients; pedigree,8238,10,unigram; bigram; trigram
ark://27927/phz8505vv2m,Detergent-Enzymatic Decellularization of Swine Blood Vessels: Insight on Mechanical Properties for Vascular Tissue Engineering,BioMed Research International,2013,10.1155/2013/918753,article,,portico,,2013-06-20,null,2013,http://doi.org/10.1155/2013/918753,Ilaria Stefani; Anna Maestroni; Sandro Zonta; Alessandro F. Pellegata; Gianpaolo Zerbini; George E. Plopper; Silvia Maestroni; Sara Mantero; M. Adelaide Asnaghi; Tommaso Dominioni,Hindawi,eng,,,,decellularized; tissue; decellularized scaffolds; mechanical properties; vessels; native; acellular scaffolds; extracellular matrix; decellularized vessels; wall thickness,4272,8,unigram; bigram; trigram
ark://27927/phz1n8dp704,"Review of Julian Thomas. The Birth of Neolithic Britain: An Interpretive Account (Oxford: Oxford University Press, 2013, xi + 508pp., 104 b/w figs., hbk, ISBN 978-0-19-968196-9)",European Journal of Archaeology,2015,10.1179/1461957115Z.000000000148,article,,portico,,2015-01-01,4,18,http://doi.org/10.1179/1461957115Z.000000000148,Alison Sheridan,Cambridge University Press,eng,720,727,,neolithic; mesolithic; mesolithic neolithic; carinated bowl; neolithic transition; mesolithic neolithic transition; haches alpines; britain; thomas; late mesolithic,4424,8,unigram; bigram; trigram
ark://27927/phx7j767g9z,Temporal Mitochondrial DNA Variation in the Basque Country: Influence of Post‐Neolithic Events,Annals of Human Genetics,2005,10.1046/j.1529-8817.2005.00170.x,article,,portico,,2005-11-01,6,69,http://doi.org/10.1046/j.1529-8817.2005.00170.x,S. Alonso; A. Alonso; A. Alzualde; N. Izagirre; C. De La Rúa,"John Wiley & Sons, Inc.",eng,665,679,,basque country; haplogroup; haplogroups; populations; mtdna haplogroups; prehistoric populations; prehistoric; pico ramos; neolithic; hum genet,9743,15,unigram; bigram; trigram
http://www.jstor.org/stable/26466331,Two contemporaneous mitogenomes from terminal Pleistocene burials in eastern Beringia,Proceedings of the National Academy of Sciences of the United States of America,2015,,article,research-article,jstor,,2015-11-10,45,112,http://www.jstor.org/stable/26466331,Justin C. Tackney; Ben A. Potter; Jennifer Raff; Michael Powers; W. Scott Watkins; Derek Warner; Joshua D. Reuther; Joel D. Irish; Dennis H. O’Rourke,National Academy of Sciences,eng,13833,13838,,mitochondrial; torrent suite; haplogroup; sequencing; wwwpnasorg cgi; pleistocene; ion torrent; upward sun; beringia; sun river,11415,6,unigrams; bigrams; trigrams
http://www.jstor.org/stable/41550558,"ABSTRACTS OF PAPERS. SIXTY-NINTH ANNUAL MEETING, SOCIETY OF VERTEBRATE PALEONTOLOGY",Journal of Vertebrate Paleontology,2009,,article,research-article,jstor,,2009-09-01,3,29,http://www.jstor.org/stable/41550558,,The Society of Vertebrate Paleontology,eng,1A,213A,,vertebrate paleontology; cretaceous; fossil; triassic; jurassic; palaeontology; marine reptiles; late triassic; moderators; late cretaceous,281128,207,unigrams; bigrams; trigrams
ark://27927/phz2f388fgc,Size of Velopharyngeal Structures after Primary Palatoplasty,The Cleft Palate-Craniofacial Journal,2017,10.1597/15-207,article,,portico,,2017-09-01,5,54,http://doi.org/10.1597/15-207,Ana Flavia Rodrigues Da Silva; Jeniffer De Cassia Rillo Dutka; Maíra De Souza Parico; Maria Inêcs Pegoraro-Krook; Adna Maressa Pereira Do Amaral,SAGE Publications,eng,517,522,,velar length; furlow; palate; velar thickness; langenbeck; nasopharynx; palate craniofac; furlow group; patients; cleft lip,4942,6,unigram; bigram; trigram
http://www.jstor.org/stable/90017256,Editorial,The Journal of Irish Archaeology,2015,,article,misc,jstor,,2015-01-01,,24,http://www.jstor.org/stable/90017256,Carleton Jones,Wordwell Ltd.,eng,v,viii,,ancestry; archaeology; ireland; bronze age; lough lugh; heritage; irish archaeology; archaeologists; early bronze; sediments,2864,4,unigrams; bigrams; trigrams
ark://27927/phxg1jrcc0,The database BIOSCAT: a tool for structure research by scattering and hydrodynamic methods,Journal of Applied Crystallography,1992,10.1107/S0021889892006733,article,,portico,,1992-12-01,6,25,http://doi.org/10.1107/S0021889892006733,J. J. Müller; B. Poppe; H. Pankow; G. Damaschun,"John Wiley & Sons, Inc.",eng,803,806,,scattering; molecule; atomic coordinates; miiller; ellipsoid; equivalent ellipsoid; ray scattering; scattered intensity; translational friction; electron,2583,4,unigram; bigram; trigram
http://www.jstor.org/stable/24809322,Alternative Splicing of Rice <em>WRKY62</em> and <em>WRKY76</em> Transcription Factor Genes in Pathogen Defense,Plant Physiology,2016,,article,research-article,jstor,,2016-06-01,2,171,http://www.jstor.org/stable/24809322,Jiqin Liu; Xujun Chen; Xiaoxing Liang; Xiangui Zhou; Fang Yang; Jia Liu; Sheng Yang He; Zejian Guo,American Society of Plant Biologists (ASPB),eng,1427,1442,,wwwplantphysiolorg; plants; oryzae; alternative splicing; proteins; plant biologists; repressor; repressor activity; supplemental; downloaded from wwwplantphysiolorg,13886,35,unigrams; bigrams; trigrams
