identifier,alternative_identifiers,country,continent,region,culture,epoch,group,comment,latitude,longitude,sex,site,site_detail,mt_hg,ychr_hg,year_from,year_to,date_detail,bp,c14_lab_code,reference_name,reference_link,data_link,c14_sample_tag,c14_layer_tag,ychr_snps,avg_coverage,sequence_source,mitopatho_alleles,mitopatho_positions,mitopatho_locus,mitopatho_diseases,mitopatho_statuses,mitopatho_homoplasms,mitopatho_heteroplasms
I13833,none,Albania,Europe,"Barç (Southeast, Korça Basin)",Albania_EarlyModern_oCaucasus,Modern Era,none,none,40.625278,20.801111,M,Albania_EarlyModern_oCaucasus,none,X2e1,..,1450 CE,1800 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13559,none,Bahamas,North America,"South Andros, Sanctuary Blue Hole",Bahamas_SouthAndros_Ceramic,Neolithic,none,none,24.1,-77.55,M,Bahamas_SouthAndros_Ceramic,none,B2e,..,900 CE,1500 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I24542,none,Belize,North America,Mayahak Cab Pek,Belize_4600BP,Belize_4600BP,none,none,16.497398,-88.90496,F,Belize_4600BP,none,C1c,n/a (female),2950 BCE,2600 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19493,none,Bulgaria,Europe,Kapitan Andreevo (South),Bulgaria_EIA,Iron Age,none,none,41.73,26.33,F,Bulgaria_EIA,none,K1a4a1,n/a (female),1100 BCE,500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I16326,none,Czech Republic,Europe,"NW Bohemia, Louny, Stradonice",Czech_IA_Hallstatt,Iron Age,none,none,50.291389,14.045556,F,Czech_IA_Hallstatt,none,H7,n/a (female),800 BCE,550 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8122,none,Dominican Republic,North America,El Soco,Dominican_ElSoco_Ceramic,Neolithic,none,none,18.447,-69.187,F,Dominican_ElSoco_Ceramic,none,A2z,n/a (female),850 CE,1450 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14200,none,United Kingdom,Europe,"England, Wiltshire, Amesbury Down",England_BellBeaker_highEEF,Bronze Age,none,none,51.168023,-1.7725402,M,England_BellBeaker_highEEF,none,K1b1a,R1b1a1b1a1a,2470 calBCE,2239 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19043,none,United Kingdom,Europe,"England, Hampshire, Winnall Down",England_MIA_LIA_o1_lc,Iron Age,none,none,51.07,-1.29,F,England_MIA_LIA_o1_lc,none,J1c1,n/a (female),400 BCE,100 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I30333,none,United Kingdom,Europe,"England, Gloucestershire, Cheltenham, Hazleton North",England_N_Megalithic,Neolithic,none,none,51.861211,-1.883011,M,England_N_Megalithic,none,n/a (<2x cov),..,3948 calBCE,3652 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13433,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,F,Greece_Delphi_BA_Mycenaean,none,U3b1,n/a (female),1350 BCE,1150 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13531,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,F,Greece_Delphi_BA_Mycenaean,none,U3b,n/a (female),1350 BCE,1150 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13580,none,Greece,Europe,"Kastrouli (Desfina, Phokis, near Delphi)",Greece_Delphi_BA_Mycenaean,Bronze Age,none,none,38.399083,22.575,M,Greece_Delphi_BA_Mycenaean,none,K2b,..,1371 calBCE,1123 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I7527,none,Iran,Asia,Ganj Dareh,Iran_GanjDareh_N,Neolithic,none,none,34.45,48.116,F,Iran_GanjDareh_N,none,U7a,n/a (female),8200 BCE,7700 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2189,none,Israel,Asia,"Megiddo, Jezreel Valley",Israel_MLBA_o_brother.I2200,Bronze Age,none,none,32.58472222,35.01694444,M,Israel_MLBA_o_brother.I2200,none,U3b,..,1600 BCE,1500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1072,none,Israel,Asia,Raqefet Cave,Israel_Natufian_d,Mesolithic,none,none,32.65,35.067,M,Israel_Natufian_d,none,N1b,..,12000 BCE,9500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1072,none,Israel,Asia,Raqefet Cave,Israel_Natufian,Mesolithic,none,none,32.65,35.067,M,Israel_Natufian,none,n/a (<2x),..,12000 BCE,9500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I4427,none,Malawi,Africa,Fingira,Malawi_Fingira_LSA_6000BP,Paleolithic,none,none,-10.786153,33.765371,M,Malawi_Fingira_LSA_6000BP,none,L0d1b2b,..,4227 calBCE,3965 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I4427,none,Malawi,Africa,Fingira,Malawi_Fingira_LSA_6000BP_noUDG,Paleolithic,none,none,-10.786153,33.765371,M,Malawi_Fingira_LSA_6000BP_noUDG,none,L0d1b2b,..,4227 calBCE,3965 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1525,none,Russia,Europe,"Uelen Chukotka, Bering Strait",Russia_Uelen_OldBeringSea,Russia_Uelen_OldBeringSea,none,none,66.161126,-169.822297,F,Russia_Uelen_OldBeringSea,none,A2a,n/a (female),60 calCE,450 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8435,none,Turkey,Asia,"Boncuklu Tarla (Southeast, Mardin, Dargeçit, Ilısu)",Turkey_PPNA_lc,Turkey_PPNA_lc,none,none,37.52,41.84,F,Turkey_PPNA_lc,none,n/a (<2x),n/a (female),9000 BCE,8500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13835,none,Albania,Europe,"Barç (Southeast, Korça Basin) ",Albania_EarlyModern_oCaucasus,Modern Era,none,none,40.625278,20.801111,F,Albania_EarlyModern_oCaucasus,none,U3b1,n/a (female),1644 calCE,1797 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I7090,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7200BP,Argentina_ArroyoSeco2_7200BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7200BP,none,C1c,..,5462 calBCE,5014 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1748,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,none,C1c,..,5462 calBCE,5014 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I7088,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7400BP_contam,Argentina_ArroyoSeco2_7400BP_contam,none,none,-38.3605556,-60.2441667,F,Argentina_ArroyoSeco2_7400BP_contam,none,A2,n/a (female),5620 calBCE,5336 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I0308,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,A2+(64),..,5620 calBCE,5336 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I0309,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,D1,..,5881 calBCE,5561 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2230,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,C1b,..,7026 calBCE,6433 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2232,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,C1b,..,6570 calBCE,6252 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I7086,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,Argentina_ArroyoSeco2_7700BP,none,none,-38.3605556,-60.2441667,F,Argentina_ArroyoSeco2_7700BP,none,D1g,n/a (female),5971 calBCE,5718 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12941,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Almanza",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.85,-67.57,M,Argentina_BeagleChannel_Yamana_100BP,none,C1b,..,1560 calCE,1960 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12942,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Acatushún",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.87,-67.33,F,Argentina_BeagleChannel_Yamana_100BP,none,C1b,n/a (female),1810 calCE,1960 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12943,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Almanza",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.85,-67.57,F,Argentina_BeagleChannel_Yamana_100BP,none,C1b,n/a (female),1550 calCE,1960 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12355,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Río Pipo",Argentina_BeagleChannel_Yamana_1500BP,Neolithic,none,none,-54.85,-68.52,M,Argentina_BeagleChannel_Yamana_1500BP,none,C1b,..,260 calCE,600 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8351,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_1600BP,Argentina_LagunaChica_1600BP,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_1600BP,none,D1g+16189,n/a (female),250 calCE,385 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8348,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,Argentina_LagunaChica_6800BP,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_6800BP,none,R,n/a (female),5010 calBCE,4840 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8349,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,Argentina_LagunaChica_6800BP,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_6800BP,none,C1b,n/a (female),4830 calBCE,4700 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I8350,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,Argentina_LagunaChica_6800BP,none,none,-36.0772222,-62.3472222,M,Argentina_LagunaChica_6800BP,none,A2,..,7000 BCE,4500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12376,none,Argentina,South America,"Southwest of Buenos Aires, Laguna Toro",Argentina_LagunaToro_2400BP,Argentina_LagunaToro_2400BP,none,none,-38.84,-61.42,F,Argentina_LagunaToro_2400BP,none,A2+(64),n/a (female),736 calBCE,194 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12356,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,D1,..,1450 calCE,1820 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12357,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,F,Argentina_MitrePeninsula_Haush_400BP,none,D1g+16189,n/a (female),1470 calCE,1810 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12358,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,C,..,1330 calCE,1650 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12359,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,C1b,..,1280 calCE,1440 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12360,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,D1g+16189,..,1460 calCE,1640 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12361,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Río Policarpo",Argentina_MitrePeninsula_Haush_400BP,Argentina_MitrePeninsula_Haush_400BP,none,none,-54.6,-65.58,M,Argentina_MitrePeninsula_Haush_400BP,none,D1g+16189,..,1450 calCE,1630 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12362,none,Argentina,South America,"Tierra del Fuego (North), La Arcillosa 2",Argentina_NorthTierradelFuego_LaArcillosa2_5800BP,Argentina_NorthTierradelFuego_LaArcillosa2_5800BP,none,none,-53.58,-68.02,F,Argentina_NorthTierradelFuego_LaArcillosa2_5800BP,none,C,n/a (female),4040 calBCE,3710 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12354,none,Argentina,South America,"Tierra del Fuego (North), Río Grande",Argentina_NorthTierradelFuego_Selknam_500BP,Argentina_NorthTierradelFuego_Selknam_500BP,none,none,-53.78,-67.7,M,Argentina_NorthTierradelFuego_Selknam_500BP,none,D1g+16189,..,1420 calCE,1630 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12363,none,Argentina,South America,"Tierra del Fuego (North), Puesto Pescador",Argentina_NorthTierradelFuego_Selknam_500BP,Argentina_NorthTierradelFuego_Selknam_500BP,none,none,-53.28,-68.47,M,Argentina_NorthTierradelFuego_Selknam_500BP,none,D1g+16189,..,1490 calCE,1660 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12364,none,Argentina,South America,"Tierra del Fuego (North), Margen Sur",Argentina_NorthTierradelFuego_Selknam_500BP,Argentina_NorthTierradelFuego_Selknam_500BP,none,none,-53.82,-67.65,F,Argentina_NorthTierradelFuego_Selknam_500BP,none,D4h3a,n/a (female),1040 calCE,1280 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12366,none,Argentina,South America,"Tierra del Fuego (North), Pozo Tierra del Fuego 1",Argentina_NorthTierradelFuego_Selknam_500BP,Argentina_NorthTierradelFuego_Selknam_500BP,none,none,-53.66,-67.96,F,Argentina_NorthTierradelFuego_Selknam_500BP,none,D1g+16189,n/a (female),1670 calCE,1960 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12367,none,Argentina,South America,"Tierra del Fuego (North), Margen Sur",Argentina_NorthTierradelFuego_Selknam_500BP,Argentina_NorthTierradelFuego_Selknam_500BP,none,none,-53.82,-67.65,F,Argentina_NorthTierradelFuego_Selknam_500BP,none,C1c8,n/a (female),1200 calCE,1300 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I12365,none,Argentina,South America,"Tierra del Fuego (North), Margen Sur",Argentina_NorthTierradelFuego_Selknam_500BP_brother.I12367,Argentina_NorthTierradelFuego_Selknam_500BP_brother.I12367,none,none,-53.82,-67.65,M,Argentina_NorthTierradelFuego_Selknam_500BP_brother.I12367,none,C1c8,..,1150 calCE,1270 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20439,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,F,Armenia_LBA,none,X2e2a2,n/a (female),1012 calBCE,906 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20440,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,F,Armenia_LBA,none,W6b,n/a (female),1263 calBCE,1121 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20441,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,M,Armenia_LBA,none,U2+152,..,900 calBCE,805 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20443,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,M,Armenia_LBA,none,H2a,..,1013 calBCE,846 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20436,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,M,Armenia_LBA,none,N1b1a5,..,1199 calBCE,989 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20444,none,Armenia,Asia,Sarukhan,Armenia_EIA,Iron Age,none,none,40.29221,45.130679,M,Armenia_EIA,none,T2a1b2b,..,788 calBCE,551 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20438,none,Armenia,Asia,Sarukhan,Armenia_LIA_o2,Iron Age,none,none,40.29221,45.130679,F,Armenia_LIA_o2,none,C5c+16234,n/a (female),161 calBCE,8 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20437,none,Armenia,Asia,Sarukhan,Armenia_LIA_o3,Iron Age,none,none,40.29221,45.130679,F,Armenia_LIA_o3,none,T1a9,n/a (female),157 calBCE,7 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I20442,none,Armenia,Asia,Sarukhan,Armenia_LIA_o3,Iron Age,none,none,40.29221,45.130679,F,Armenia_LIA_o3,none,N1b1a,n/a (female),220 calCE,330 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I19340,none,Armenia,Asia,Karashamb Cemetery,Armenia_MBA,Bronze Age,none,none,40.416667,45.2,M,Armenia_MBA,none,U1a1a1a,..,1420 BCE,1250 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I10252,none,Armenia,Asia,"Vardbakh, Yerevan 2 Cave",Armenia_Antiquity,Classical Age,none,none,40.833333,43.916667,F,Armenia_Antiquity,none,U7b,n/a (female),100 BCE,300 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11699,none,Austria,Europe,"Lower Austria, St. Pölten, Pottenbrunn",Austria_IA_LaTene,Iron Age,none,none,48.241109,15.701654,F,Austria_IA_LaTene,none,H11a2,n/a (female),500 BCE,200 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11701,none,Austria,Europe,"Lower Austria, St. Pölten, Pottenbrunn",Austria_IA_LaTene,Iron Age,none,none,48.241109,15.701654,M,Austria_IA_LaTene,none,T2b,..,500 BCE,200 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I11708,none,Austria,Europe,"Lower Austria, St. Pölten, Pottenbrunn",Austria_IA_LaTene,Iron Age,none,none,48.241109,15.701654,F,Austria_IA_LaTene,none,U7b,n/a (female),500 BCE,200 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2483,none,Austria,Europe,Krems-Wachtberg,Austria_Krems1_1,Austria_Krems1_1,none,none,48.41,15.59,M,Austria_Krems1_1,none,U5,..,29200 BCE,28600 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2484,none,Austria,Europe,Krems-Wachtberg,Austria_Krems1_2_twin.I2483,Austria_Krems1_2_twin.I2483,none,none,48.41,15.59,M,Austria_Krems1_2_twin.I2483,none,U5,..,29200 BCE,28600 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I2484,none,Austria,Europe,Krems-Wachtberg,Austria_Krems1_2_twin.I2483_noUDG,Austria_Krems1_2_twin.I2483_noUDG,none,none,48.41,15.59,M,Austria_Krems1_2_twin.I2483_noUDG,none,U5,..,29200 BCE,28600 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I1577,none,Austria,Europe,Krems-Wachtberg,Austria_KremsWA3,Austria_KremsWA3,none,none,48.41,15.59,M,Austria_KremsWA3,none,U5,..,29500 BCE,28500 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I6913,none,Austria,Europe,Brunn Wolfholz,Austria_N_HG_LBK_o_lc,Paleolithic,none,none,48.120396,16.291722,M,Austria_N_HG_LBK_o_lc,none,U5a1,CT,5604 calBCE,5230 calBCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I6912,none,Austria,Europe,Brunn Wolfholz,Austria_N_LBK,Neolithic,none,none,48.120396,16.291722,M,Austria_N_LBK,none,J1,BT,5500 BCE,4775 BCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13320,none,Bahamas,North America,Abaco,Bahamas_AbacoIsl_Ceramic,Neolithic,none,none,25.87,-77.19,M,Bahamas_AbacoIsl_Ceramic,none,B2e,..,1033 calCE,1159 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14875,none,Bahamas,North America,"Abaco, Bill Johnson's Cave, Lubber's Quarters",Bahamas_AbacoIsl_Ceramic,Neolithic,none,none,26.5,-76.99,M,Bahamas_AbacoIsl_Ceramic,none,B2,..,772 calCE,973 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14922,none,Bahamas,North America,"Abaco, Hopetown",Bahamas_AbacoIsl_Ceramic,Neolithic,none,none,26.53,-76.96,F,Bahamas_AbacoIsl_Ceramic,none,B2e,n/a (female),893 calCE,994 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14923,none,Bahamas,North America,"Abaco, Moore's Island, Prophet's Cave",Bahamas_AbacoIsl_Ceramic,Neolithic,none,none,26.31,-77.55,F,Bahamas_AbacoIsl_Ceramic,none,B2e,n/a (female),1305 calCE,1398 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13318,none,Bahamas,North America,Crooked Island,Bahamas_CrookedIsl_Ceramic,Neolithic,none,none,22.82,-74.29,M,Bahamas_CrookedIsl_Ceramic,none,C1b,..,900 CE,1500 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13319,none,Bahamas,North America,Crooked Island,Bahamas_CrookedIsl_Ceramic,Neolithic,none,none,22.83,-74.32,F,Bahamas_CrookedIsl_Ceramic,none,C1b,n/a (female),900 CE,1500 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13321,none,Bahamas,North America,Eleuthera Island,Bahamas_EleutheraIsl_Ceramic,Neolithic,none,none,24.75,-76.2,M,Bahamas_EleutheraIsl_Ceramic,none,C1b2,..,900 CE,1500 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13736,none,Bahamas,North America,"Eleuthera, Garden Cave",Bahamas_EleutheraIsl_Ceramic,Neolithic,none,none,25.366574,-76.520014,F,Bahamas_EleutheraIsl_Ceramic,none,C1d1,n/a (female),900 CE,1500 CE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14878,none,Bahamas,North America,"North Eleuthera, Preacher's Cave",Bahamas_EleutheraIsl_Ceramic,Neolithic,none,none,25.557,-76.696,F,Bahamas_EleutheraIsl_Ceramic,none,B2,n/a (female),1047 calCE,1220 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14920,none,Bahamas,North America,"Eleuthera, Garden Cave",Bahamas_EleutheraIsl_Ceramic,Neolithic,none,none,25.366574,-76.520014,F,Bahamas_EleutheraIsl_Ceramic,none,C1b,n/a (female),992 calCE,1032 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14921,none,Bahamas,North America,"Eleuthera, Garden Cave",Bahamas_EleutheraIsl_Ceramic,Neolithic,none,none,25.366574,-76.520014,F,Bahamas_EleutheraIsl_Ceramic,none,C1b,n/a (female),1229 calCE,1291 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I14876,none,Bahamas,North America,"North Eleuthera, Blue Hole",Bahamas_EleutheraIsl_Ceramic,Neolithic,none,none,25.551022,-76.71,M,Bahamas_EleutheraIsl_Ceramic,none,B2,..,1278 calCE,1388 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13322,none,Bahamas,North America,Long Island,Bahamas_LongIsl_Ceramic,Neolithic,none,none,23.1,-74.98,F,Bahamas_LongIsl_Ceramic,none,C1d1,n/a (female),885 calCE,990 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13737,none,Bahamas,North America,"Long Island, Clarence Town, Rolling Heads Site",Bahamas_LongIsl_Ceramic,Neolithic,none,none,23.1,-74.98,M,Bahamas_LongIsl_Ceramic,none,B2e,..,1165 calCE,1224 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13738,none,Bahamas,North America,"Long Island, Clarence Town, Rolling Heads Site",Bahamas_LongIsl_Ceramic,Neolithic,none,none,23.1,-74.98,F,Bahamas_LongIsl_Ceramic,none,C1b,n/a (female),1283 calCE,1390 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13739,none,Bahamas,North America,"Long Island, Clarence Town, Rolling Heads Site",Bahamas_LongIsl_Ceramic,Neolithic,none,none,23.1,-74.98,F,Bahamas_LongIsl_Ceramic,none,B2e,n/a (female),1282 calCE,1388 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
I13558,none,Bahamas,North America,"South Andros, Sanctuary Blue Hole",Bahamas_SouthAndros_Ceramic,Neolithic,none,none,24.1,-77.55,F,Bahamas_SouthAndros_Ceramic,none,C1b2,n/a (female),1307 calCE,1406 calCE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
