"Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"
"386-198 calBCE (2224±30 BP, SUERC-95014)"
"391-204 calBCE (2247±30 BP, SUERC-95018)"
"401-209 calBCE (2279±26 BP, SUERC-97422)"
"396-207 calBCE (2265±30 BP, GrA-37707)"
"377-203 calBCE (2227±18 BP) [R_combine: (2220±20 BP, PSUAMS-8551); (2250±35 BP, GrA-35998)]"
"386-198 calBCE (2225±30 BP, GrA-37686)"
"360-201 calBCE (2201±20 BP) [R_combine: (2198±26 BP, OxA-18432); (2205±30 BP, GrA-37687)]"
"372-197 calBCE (2212±21 BP) [R_combine: (2215±30 BP, SUERC-24071); (2244±27 BP, OxA-20795); (2176±27 BP, SUERC-97414)]"
"408-232 calBCE (2305±27 BP, SUERC-94979)"
"387-199 calBCE (2227±30 BP, SUERC-94989)"
"382-197 calBCE (2216±30 BP, SUERC-94990)"
"387-204 calBCE (2238±27 BP, SUERC-95000)"
"404-209 calBCE (2288±28 BP, SUERC-86447)"
"411-208 calBCE (2303±34 BP, SUERC-49183)"
"401-208 calBCE (2279±31 BP, SUERC-60688)"
"381-179 calBCE (2213±30 BP, SUERC-94982)"
"380-197 calBCE (2215±27 BP, SUERC-94983)"
"377-178 calBCE (2210±30 BP, SUERC-94984)"
"372-175 calBCE (2205±32 BP, SUERC-60691)"
"381-199 calBCE (2221±25 BP, SUERC-97424)"
"388-206 calBCE (2243±25 BP, SUERC-97428)"
"383-197 calBCE (2218±28 BP, SUERC-97429)"
"382-205 calBCE (2234±20 BP, UB-3920)"
"355-118 calBCE (2168±21 BP, UB-3919)"
"395-205 calBCE (2257±32 BP, SUERC-73829)"
"387-198 calBCE (2226±30 BP, SUERC-73828)"
"403-209 calBCE (2285±30 BP, SUERC-40287)"
"381-197 calBCE (2215±30 BP, SUERC-40288)"
"368-173 calBCE (2200±30 BP, SUERC-40289)"
"387-200 calBCE (2230±30 BP, SUERC-40299)"
"368-165 calBCE (2190±30 BP, SUERC-95003)"
"389-208 calBCE (2250±21 BP, UB-3776)"
"366-197 calBCE (2207±21 BP, UB-3778)"
"382-204 calBCE (2231±22 BP) [R_combine: (2198±27 BP, OxA-21387); (2285±35 BP, SUERC-26419)]"
"376-203 calBCE (2225±19 BP) [R_combine: (2190±30 BP, SUERC-40141); (2247±24 BP, OxA-23360)]"
"362-171 calBCE (2192±27 BP, OxA-25957)"
"381-201 calBCE (2224±21 BP, UB-3779)"
"396-209 calBCE (2268±20 BP, UB-3922)"
"377-177 calBCE (2209±31 BP, UBA-30432)"
"387-201 calBCE (2232±29 BP, OxA-14730)"
"391-203 calBCE (2246±30 BP, SUERC-70740)"
"370-175 calBCE (2204±30 BP, SUERC-95011)"
"387-201 calBCE (2231±30 BP, SUERC-95004)"
"395-208 calBCE (2263±27 BP, SUERC-94973)"
"352-53 calBCE (2146±30 BP, SUERC-94961)"
"355-59 calBCE (2160±27 BP, OxA-24641)"
"349-50 calBCE (2133±30 BP, SUERC-94962)"
"343-50 calBCE (2122±30 BP, SUERC-94963)"
"356-49 calBCE (2196±27 BP, SUERC-97433, marine calibrated) "
"351-52 calBCE (2141±30 BP, SUERC-94964)"
"349-51 calBCE (2135±30 BP, SUERC-27295)"
"358-108 calBCE (2170±26 BP, SUERC-97423)"
"381 calBCE - 6 calCE (2140±70 BP, HAR-6715)"
"343-43 calBCE (2111±34 BP, SUERC-49181)"
"341-46 calBCE (2111±31 BP, SUERC-60702)"
"351-54 calBCE (2147±26 BP, OxA-25954)"
"361-106 calBCE (2173±31 BP, SUERC-76361)"
"357-57 calBCE (2161±32 BP, SUERC-60697)"
"346-52 calBCE (2133±26 BP, OxA-25958)"
"355-60 calBCE (2162±27 BP, OxA-25956)"
"715-48 calBCE (2250±90 BP, HAR-2937)"
"356-59 calBCE (2163±29 BP, SUERC-73827)"
"355-54 calBCE (2153±30 BP, SUERC-95008)"
"357-60 calBCE (2165±30 BP, SUERC-31494)"
"356-108 calBCE (2166±24 BP, OxA-23358)"
"343-49 calBCE (2120±30 BP, SUERC-31498)"
"346-53 calBCE (2135±23 BP, OxA-23359)"
"351-52 calBCE (2140±30 BP, SUERC-31499)"
"354-59 calBCE (2157±26 BP, OxA-25955)"
"384-202 calBCE (2229±24 BP, SUERC-104565)	..	England_MIA	England, Oxfordshire, Stanton Harcourt, Gravelly Guy	United Kingdom	51.74585	-1.416236	Repulldown on 3.2M snpset	1240K	1	5.356	874883	479455	F	n/a (no relatives detected)	n/a (female)	n/a (female)	445.6	K1a4a1	[0.972,0.990]	0.077	0.012	ds.half	S21275.Y1.E2.L1	PASS	..
I21276	I21276	GENLAB 346; 1424	petrous	2021	PattersonNature2021	Direct: IntCal20	2229	52	381-201 calBCE (2224±24 BP, SUERC-104569)"
"359-54 calBCE (2204±24 BP, SUERC-104570)"
"346-52 calBCE (2134±27 BP, SUERC-97430)"
"356 calBCE - 110 calCE (2083±70 BP, NZA-13631)"
"354-57 calBCE (2154±27 BP, SUERC-97431)"
"386 calBCE - 58 calCE (2127±85 BP, NZA-13632)"
"336-49 calBCE (2112±27 BP, SUERC-97432)"
"343-51 calBCE (2124±27 BP, SUERC-97418)"
"354-57 calBCE (2154±27 BP, SUERC-97419)"
"342-51 calBCE (2123±27 BP, SUERC-97420)"
"370-197 calBCE (2210±20 BP, PSUAMS-8290)"
"400-208 calBCE (2275±30 BP, GrA-37911)"
"3074-2892 calBCE (4336±32 BP, SUERC-52011)"
"3781-3643 calBCE (4934±35 BP, OxA-34336)"
"3624-3376 calBCE (4715±20 BP, PSUAMS-2513)"
"3697-3384 calBCE (4809±45 BP, UBA-30800)"
"3645-3526 calBCE (4808±35 BP, UB-29004)"
"3644-3527 calBCE (4808±32 BP, OxA-13539)"
"3642-3378 calBCE (4766±48 BP, UBA-32285)"
"3946-3710 calBCE (5023±34 BP, OxA-17173)"
"3697-3384 calBCE (4809±45 BP, UBA-30800)"
"3645-3526 calBCE (4808±35 BP, UB-29004)"
"3644-3527 calBCE (4808±32 BP, OxA-13539)"
"3946-3710 calBCE (5023±34 BP, OxA-17173)"
"3751-3636 calBCE (4895±25 BP, PSUAMS-9671)"
"3640-3528 calBCE (4800±25 BP, PSUAMS-9672)"
"3932-3637 calBCE (4940±50 BP, GrA-24506)"
"3653-3380 calBCE (4800±50 BP, GrA-24504)"
"3632-3380 calBCE (4740±25 BP, PSUAMS-9673)"
"3764-3521 calBCE (4850±50 BP, GrA-24508)"
"3632-3380 calBCE (4740±25 BP, PSUAMS-9675)"
"3761-3637 calBCE (4905±25 BP, PSUAMS-9677)"
"3092-2905 calBCE (4370±35 BP, Poz-83500)"
"3956-3769 calBCE (5052±32 BP, OxA-19914)"
"3697-3384 calBCE (4809±45 BP, UBA-30800)"
"3645-3526 calBCE (4808±35 BP, UB-29004)"
"3644-3527 calBCE (4808±32 BP, OxA-13539)"
"3642-3378 calBCE (4766±48 BP, UBA-32285)"
3641-3526 calBCE (4801±31 BP)
"3946-3710 calBCE (5023±34 BP, OxA-17173)"
"2576-2465 calBCE (3997±29 BP, OxA-29631)"
"2576-2465 calBCE (3997±29 BP, OxA-29631)"
"2576-2465 calBCE (3997±29 BP, OxA-29631)"
"1881-1691 calBCE (3460±25 BP, PSUAMS-9422)"
"2400-2058 calBCE (3795±35 BP, Poz-68164)"
"2471-2209 calBCE (3895±40 BP, GrA-22988)"
"2553-2302 calBCE (3929±23 BP) [R_combine: (3935±35 BP, Poz-41229); (3925±30 BP, Poz-41228)]"
"1882-1687 calBCE (3455±30 BP, Poz-138229)"
"1886-1644 calBCE (3460±35 BP, Poz-138221)"
"1684-1503 calBCE (3310±35 BP, Poz-138294)"
"1874-1544 calBCE (3400±40 BP, Poz-138295)"
"2437-2147 calBCE (3825±25 BP, PSUAMS-9404)"
"1891-1743 calBCE (3495±25 BP, PSUAMS-8997)"
"2463-2208 calBCE (3870±35 BP, Poz-138224)"
"2840-2473 calBCE (4055±30 BP, PSUAMS-9410)"
"3516-3365 calBCE (4650±35 BP, Poz-118848)"
"1441-1283 calBCE (3107±30 BP, Poz-138222)"
"1228-1285 calCE (755±20 BP, PSUAMS-9403)"
"2456-2203 calBCE (3848±34 BP, Hd-19835)"
"2573-2310 calBCE (3955±35 BP, Poz-84553)"
"3626-3378 calBCE (4726±17 BP) [R_combine: (4580±30, KIA-28844, Bla5); (4860±30, KIA-45011, Bla7); (4730±25, KIA-45010, Bla13)]"
"3644-3528 calBCE (4810±23 BP) [R_combine: (4615±30, KIA-28845, Bla16); (5055±35, KIA-37508, Bla27)]"
"3338-3024 calBCE (4465±30 BP, KIA-28846)"
"3725-3655 calBCE (4965±15 BP) [R_combine: (4950±30, KIA-45006, Bla8); (4905±25, KIA-45008, Bla9); (5145±30, KIA-45007, Bla11); (4845±35, KIA-37507, Bla24)]"
"5307-5071 calBCE (6246±30 BP, MAMS-24635)"
"5299-5049 calBCE (6211±32 BP, KIA-40346)"
"2459-2204 calBCE (3855±35 BP, Poz-84458)"
"1413-1261 calBCE (3067±25 BP, DEM-2905, MAMS-25209)"
"1418-1278 calBCE (3084±24 BP, DEM-2903, MAMS-25207)"
"1386-1217 calBCE (3030±20 BP, PSUAMS-7560)"
"5477-5331 calBCE (6441±38 BP, OxA-22012)"
"735-400 calBCE (2505±20 BP, PSUAMS-7118)"
"800-545 calBCE (2505±20 BP, PSUAMS-7119)"
"545-395 calBCE (2480±20 BP, PSUAMS-7121)"
"795-592 calBCE (2550±15 BP, PSUAMS-8197)"
"771-543 calBCE (2495±20 BP, PSUAMS-11558)"
"808-777 calBCE (2605±20 BP, PSUAMS-11559)"
"801-591 calBCE (2560±20 BP, PSUAMS-11560)"
"793-567 calBCE (2540±20 BP, PSUAMS-11561)"
"805-761 calBCE (2575±20 BP, PSUAMS-8344)"
"791-555 calBCE (2535±20 BP, PSUAMS-8976)"
"782-567 calBCE (2530±15 BP, PSUAMS-8198)"
"796-593 calBCE (2555±15 BP, PSUAMS-8200)"
"798-597 calBCE (2560±15 BP, PSUAMS-8199)"
"796-570 calBCE (2550±20 BP, PSUAMS-11557)"
"735-400 calBCE (2505±20 BP, PSUAMS-7117)"
"800-555 calBCE (2505±20 BP, PSUAMS-7120)"
"791-555 calBCE (2535±20 BP, PSUAMS-8975)"
"804-768 calBCE (2580±20 BP, PSUAMS-11562)"
"1220-1271 calCE (800±20 BP, PSUAMS-11954)"
"1439-1474 calCE (425±15 BP, PSUAMS-10003)"
"262-425 calCE (1670±20 BP, PSUAMS-11594)"
"1523-1655 calCE (285±15 BP, PSUAMS-11955)"
"1216-1271 calCE (810±20 BP, PSUAMS-10004)"
1447-1621 calCE (390±20 BP PSUAMS-11907)
"1273-1378 calCE (705±20 BP, PSUAMS-11961)"
1402-1439 calCE (515±20 BP PSUAMS-11915)
"1421-1447 calCE (480±15 BP, PSUAMS-10205)"
"1273-1378 calCE (705±20 BP, PSUAMS-11962)"
"1428-1455 calCE (455±15 BP, PSUAMS-11596)"
1221-1273 calCE (795±20 BP PSUAMS-11916)
"1501-1641 calCE (320±15 BP, PSUAMS-10013)"
"1306-1401 calCE (600±15 BP, PSUAMS-11595)"
"1414-1444 calCE (490±15 BP, PSUAMS-11960)"
"1439-1615 calCE (410±20 BP, PSUAMS-10011)"
"1305-1400 calCE (605±15 BP, PSUAMS-10012)"
"4239-4046 calBCE (5300±23 BP, MAMS-14132)"
"4341-4176 calBCE (5418±29 BP, MAMS-14828)"
"4334-4060 calBCE (5380±30 BP, Beta-310033)"
"4442-4250 calBCE (5480±35 BP, Poz-83629)"
"2464-2209 calBCE (3874±33 BP, DeA-2877)"
"978-831 calBCE (2760±20 BP, PSUAMS-10140)"
"904-814 calBCE (2715±20 BP, PSUAMS-10190)"
"765-489 calBCE (2475±20 BP, PSUAMS-11036)"
"5737-5538 calBCE (6740±60 BP, deb-11804)"
"5713-5536 calBCE (6700±40 BP, Poz-83628)"
"5656-5536 calBCE (6677±27 BP, MAMS-11928)"
"5830-5664 calBCE (6857±31 BP, MAMS-11935)"
"5713-5556 calBCE (6704±34 BP, MAMS-11933)"
"4228-3962 calBCE (5230±40 BP, Poz-83638)"
"403-233 calBCE (2295±20 BP, PSUAMS-10200)"
"381-203 calBCE (2230±20 BP, PSUAMS-9423)"
"394-208 calBCE (2260±20 BP, PSUAMS-10202)"
"385-206 calBCE (2240±20 BP, PSUAMS-8422)"
"387-208 calBCE (2245±20 BP, PSUAMS-10134)"
"400-232 calBCE (2285±20 BP, PSUAMS-10135)"
"391-208 calBCE (2255±20 BP, PSUAMS-8423)"
"346-57 calBCE (2140±20 BP, PSUAMS-10191)"
"357-167 calBCE (2180±20 BP, PSUAMS-10193)"
"3345-2937 calBCE (4460±40 BP, Poz-88230)"
"1046-900 calBCE (2810±25 BP, PSUAMS-10138)"
"4797-4619 calBCE (5861±26 BP, MAMS-14827)"
"4834-4556 calBCE (5850±40 BP, Poz-82582)"
"5203-4841 calBCE (6060±40 BP, Poz-83633)"
"5034-4846 calBCE (6049±29 BP, MAMS-14817)"
"4932-4714 calBCE (5930±40 BP, Beta-310040)"
"5026-4837 calBCE (6032±32 BP, MAMS-14814)"
"4928-4707 calBCE (5920±40 BP, Beta-310039)"
"5217-4997 calBCE (6170±40 BP, Poz-83632)"
"5305-5046 calBCE (6220±40 BP, Poz-83631)"
"5479-5361 calBCE (6449±30 BP, BRAMS-1302)"
"5210-4935 calBCE (6110±40 BP, Poz-83630)"
"5209-4855 calBCE (6100±40 BP, Poz-88115)"
"5209-4941 calBCE (6115±35 BP, Poz-82584)"
"5303-5066 calBCE (6233±23 BP, MAMS-14145)"
"5307-5069 calBCE (6244±34 BP, SUERC-51459)"
"5205-4848 calBCE (6079±33 BP, MAMS-14808)"
"5317-5074 calBCE (6264±34 BP, OxA-29050)"
"5363-5216 calBCE (6321±28 BP, MAMS-14830)"
"5318-5077 calBCE (6267±33 BP, MAMS-14809)"
"891-991 calCE (1115±20 BP, PSUAMS-5428)"
"772-950 calCE (1175±20 BP, PSUAMS-5430)"
"772-950 calCE (1175±20 BP, PSUAMS-5431)"
"772-950 calCE (1175±20 BP, PSUAMS-5432)"
"772-893 calCE (1185±20 BP, PSUAMS-5433)"
"772-893 calCE (1180±15 BP, PSUAMS-5460)"
"707-888 calCE (1210±25 BP, PSUAMS-5462)"
"772-950 calCE (1180±25 BP, PSUAMS-5463)"
"774-885 calCE (1200±20 BP, PSUAMS-5464)"
"688-878 calCE (1235±20 BP, PSUAMS-5465)"
"774-885 calCE (1200±20 BP, PSUAMS-5466)"
"886-990 calCE (1125±20 BP, PSUAMS-5436)"
"772-974 calCE (1160±20 BP, PSUAMS-5437)"
"772-893 calCE (1185±20 BP, PSUAMS-5467)"
"705-878 calCE (1230±15 BP, PSUAMS-5473)"
"892-993 calCE (1105±15 BP, PSUAMS-5440)"
"774-885 calCE (1200±20 BP, PSUAMS-5469)"
"674-773 calCE (1280±15 BP, PSUAMS-4606)"
"772-885 calCE (1210±20 BP, PSUAMS-5441)"
"682-878 calCE (1240±20 BP, PSUAMS-5442)"
"772-893 calCE (1185±20 BP, PSUAMS-4505)"
"887-986 calCE (1125±15 BP, PSUAMS-4596)"
"774-993 calCE (1130±25 BP, PSUAMS-5470)"
"1671-1945 calCE (150±15 BP, PSUAMS-5459)"
"1698-1910 calCE (30±20 BP, PSUAMS-5429)"
"1682-1937 calCE (130±15 BP, PSUAMS-5461)"
"1686-1927 calCE (115±20 BP, PSUAMS-5434)"
"1675-1943 calCE (140±15 BP, PSUAMS-5471)"
"1694-1918 calCE (105±15 BP, PSUAMS-5435)"
"1697-1910 calCE (35±20 BP, PSUAMS-5439)"
"1656-1950 calCE (200±15 BP, PSUAMS-4504)"
"1683-1936 calCE (125±20 BP, PSUAMS-5468)"
"1660-1950 calCE (195±15 BP, PSUAMS-4569)"
"1681-1940 calCE (130±20 BP, PSUAMS-5438)"
"1675-1943 calCE (140±15 BP, PSUAMS-4595)"
"1671-1945 calCE (150±15 BP, PSUAMS-5472)"
"1653-1950 calCE (205±15 BP, PSUAMS-5274)"
"3640-3518 calBCE (4780±30 BP, PSUAMS-1919)"
"2917-2786 calBCE (4265±25 BP, PSUAMS-1914)"
"2847-2492 calBCE (4070±25 BP, PSUAMS-2229)"
"2471-2299 calBCE (3915±25 BP, PSUAMS-1918)"
"3705-3530 calBCE (4850±30 BP, PSUAMS-2228)"
"2198-1985 calBCE (3705±25 BP, PSUAMS-2227)"
"2879-2632 calBCE (4160±25 BP, PSUAMS-1915)"
"2882-2636 calBCE (4170±25 BP, PSUAMS-2262)"
"2882-2636 calBCE (4170±25 BP, PSUAMS-1913)"
"2575-2350 calBCE (3970±30 BP, PSUAMS-1916)"
"2857-2501 calBCE (4095±25 BP, PSUAMS-1917)"
"3648-3528 calBCE (4820±30 BP, PSUAMS-1912)"
"1480-1640 calCE (330±30 BP, Beta-432801)"
"8211-7827 calBCE (8860±30 BP, Beta-432800)"
"8295-7976 calBCE (9000±40 BP, Beta-436170)"
"8219-7770 calBCE (8850±50 BP, Poz-81114)"
"2463-2236 calBCE (3875±25 BP, PSUAMS-2113)"
"1201-1015 calBCE (2910±20 BP, PSUAMS-4413)"
"6064-5846 calBCE (7090±50 BP, Poz-81115)"
"6020-5889 calBCE (7075±30 BP, PSUAMS-2345)"
"6021-5891 calBCE (7080±30 BP, PSUAMS-2163)"
"5891-5720 calBCE (6915±40 BP, PSUAMS-2126)"
"6065-5889 calBCE (7100±45 BP, PSUAMS-2151)"
"2911-2881 calBCE (4270±20 BP, PSUAMS-4778)"
"2901-2706 calBCE (4228±18 BP) [R_combine: (4210±25 BP, PSUAMS-5716); (4245±25 BP, PSUAMS-4779)]"
"3092-2915 calBCE (4385±25 BP, PSUAMS-5717)"
"3010-2881 calBCE (4300±25 BP, PSUAMS-3989)"
"2874-2630 calBCE (4150±25 BP, PSUAMS-5715)"
"3330-3018 calBCE (4450±20 BP, PSUAMS-4592)"
"8456-8251 calBCE (9115±40 BP, PSUAMS-9801)"
"2195-1973 calBCE (3685±28 BP, OxA-37603)"
"1109-923 calBCE (2845±25 BP, PSUAMS-2166)"
"1014-836 calBCE (2790±30 BP, Poz-83471)"
"2340-2146 calBCE (3810±20 BP, PSUAMS-2167)"
"1881-1697 calBCE (3470±20 BP, OS-139224)"
"1628-1406 calBCE (3240±55 BP, RTK-6765)"
"2010-1779 calBCE (3560±20 BP, OS-139225)"
"1384-1112 calBCE (2990±35 BP, Poz-83506)"
"1497-1302 calBCE (3135±30 BP, Poz-83433)"
"1532-1285 calBCE (3160±55 BP, RTK-6766)"
"1506-1431 calBCE (3207±20 BP, RTK-7898)"
"1516-1436 calBCE (3220±20 BP, OS-139223)"
"1736-1449 calBCE (3300±55 BP, RTK-6767)"
"1686-1534 calBCE (3338±21 BP, RTK-7899)"
"1614-1511 calBCE (3295±20 BP, PSUAMS-4852)"
"11541-11150 calBCE (11405±120 BP, RTK-6607)"
"2571-2343 calBCE (3955±30 BP, PSUAMS-6695)"
"2191-1973 calBCE (3680±25 BP, PSUAMS-6689)"
"2464-2294 calBCE (3890±25 BP, PSUAMS-6691)"
"2454-2201 calBCE (3840±25 BP, PSUAMS-6692)"
"2200-2030 calBCE (3715±25 BP, PSUAMS-6690)"
"892-994 calCE (1100±20 BP, PSUAMS-6157)"
"2136-1946 calBCE (3655±25 BP, PSUAMS-2076)"
"389-208 calBCE (2250±20 BP, PSUAMS-4874)"
"757-423 calBCE (2465±20 BP, PSUAMS-6682)"
"607-660 calCE (1398±13 BP) [R_combine: (1465±15 BP, PSUAMS-5283); (1275±20 BP, PSUAMS-6158)]"
"257-415 calCE (1700±25 BP, PSUAMS-5427)"
"1386-1212 calBCE (3025±20 BP, PSUAMS-4875)"
"1255-1055 calBCE (2950±20 BP, PSUAMS-4876)"
"1261-1059 calBCE (2960±20 BP, PSUAMS-4877)"
"1121-936 calBCE (2870±20 BP, PSUAMS-2387)"
"1221-1021 calBCE (2935±25 BP, PSUAMS-2118)"
"1369-1117 calBCE (2980±25 BP, PSUAMS-6688)"
"1534-1438 calBCE (3230±25 BP, PSUAMS-6681)"
"1491-1301 calBCE (3125±25 BP, PSUAMS-6696)"
"1491-1301 calBCE (3125±25 BP, PSUAMS-6696)"
"1663-1234 calBCE (3190±80 BP, Beta-37705)"
"2343-2144 calBCE (3810±25 BP, PSUAMS-6693)"
"2459-2209 calBCE (3865±25 BP, PSUAMS-6694)"
"3967-3798 calBCE (5095±30 BP, PSUAMS-6936)"
"4158-3958 calBCE (5205±30 BP, PSUAMS-6699)"
"3787-3652 calBCE (4960±25 BP, PSUAMS-6924)"
"3941-3658 calBCE (5005±25 BP, PSUAMS-6925)"
"3949-3714 calBCE (5035±25 BP, PSUAMS-6926)"
"2334-2140 calBCE (3795±25 BP, PSUAMS-6934)"
"3346-3098 calBCE (4500±25 BP, PSUAMS-6935)"
"2397-2146 calBCE (3815±25 BP, PSUAMS-6697)"
"3936-3657 calBCE (4995±25 BP, PSUAMS-6932)"
"2284-2056 calBCE (3765±20 BP, PSUAMS-4620)"
"2272-2032 calBCE (3730±30 BP, PSUAMS-1985)"
"2287-2041 calBCE (3760±30 BP, PSUAMS-3892)"
"1949-1774 calBCE (3545±20 BP, PSUAMS-4317)"
"1880-1689 calBCE (3455±25 BP, PSUAMS-6465)"
"2127-1900 calBCE (3630±25 BP, PSUAMS-6466)"
"2017-1778 calBCE (3565±25 BP, PSUAMS-6467)"
"2195-2027 calBCE (3700±20 BP, PSUAMS-6468)"
"2399-2153 calBCE (3825±20 BP, PSUAMS-4873)"
"2279-2102 calBCE (3746±30 BP, OxA-32773)"
"1377-1130 calBCE (3005±20 BP, PSUAMS-5891)"
"1107-901 calBCE (2825±30 BP, PSUAMS-1986)"
"1382-1134 calBCE (3015±20 BP, PSUAMS-3995)"
"1612-1501 calBCE (3275±20 BP, PSUAMS-4318)"
"1618-1510 calBCE (3300±25 BP, PSUAMS-1949)"
"4984-4784 calBCE (5980±30 BP, PSUAMS-1950)"
"4987-4794 calBCE (5995±30 BP, PSUAMS-2263)"
"4841-4711 calBCE (5900±30 BP, PSUAMS-2266)"
"4988-4735 calBCE (5980±35 BP, PSUAMS-1951)"
"1386-1212 calBCE (3025±20 BP, PSUAMS-7937)"
"984-835 calBCE (2770±20 BP, PSUAMS-7943)"
"2472-2300 calBCE (3920±25 BP, PSUAMS-7944)"
"1382-1134 calBCE (3015±20 BP, PSUAMS-7945)"
"2136-1959 calBCE (3665±20 BP, PSUAMS-7946)"
"2191-1982 calBCE (3690±20 BP, PSUAMS-7947)"
"1493-1304 calBCE (3130±25 BP, PSUAMS-1987)"
"1425-1284 calBCE (3095±25 BP, PSUAMS-1990)"
"1413-1264 calBCE (3070±25 BP, PSUAMS-1991)"
"1415-1230 calBCE (3065±30 BP, PSUAMS-1992)"
"1428-1290 calBCE (3100±25 BP, PSUAMS-1989)"
"1386-1212 calBCE (3025±20 BP, PSUAMS-3719)"
"1497-1397 calBCE (3155±20 BP, PSUAMS-3720)"
"1872-1636 calBCE (3430±20 BP, PSUAMS-2496)"
"1741-1613 calBCE (3375±20 BP, PSUAMS-5722)"
"2848-2494 calBCE (4075±25 BP, PSUAMS-2071)"
"752-417 calBCE (2455±20 BP, PSUAMS-5721)"
"1872-1636 calBCE (3430±20 BP, PSUAMS-5724)"
"930-806 calBCE (2720±35 BP, OS-97172)"
"2196-2029 calBCE (3705±20 BP, PSUAMS-2916)"
"3345-3096 calBCE (4495±25 BP, PSUAMS-4604)"
"3089-2917 calBCE (4385±20 BP, PSUAMS-4617)"
"3073-2911 calBCE (4365±20 BP, PSUAMS-4751)"
"3024-2908 calBCE (4360±20 BP, PSUAMS-4619)"
"1741-1619 calBCE (3385±20 BP, PSUAMS-2963)"
"131-318 calCE (1825±20 BP, PSUAMS-5723)"
"1391-1200 calBCE (3025±25 BP, PSUAMS-2940)"
"1121-936 calBCE (2870±20 BP, PSUAMS-2538)"
"1879-1691 calBCE (3455±20 BP, PSUAMS-2922)"
"1874-1642 calBCE (3435±20 BP, PSUAMS-2980)"
"1870-1631 calBCE (3425±20 BP, PSUAMS-2923)"
"1743-1623 calBCE (3395±20 BP, PSUAMS-2925)"
"1876-1687 calBCE (3445±20 BP, PSUAMS-2926)"
"1882-1745 calBCE (3485±20 BP, PSUAMS-2928)"
"1874-1642 calBCE (3435±20 BP, PSUAMS-2929)"
"1878-1689 calBCE (3450±20 BP, PSUAMS-2924)"
"1748-1624 calBCE (3405±20 BP, PSUAMS-2927)"
"2460-2296 calBCE (3885±20 BP, PSUAMS-4901)"
"2197-2032 calBCE (3710±20 BP, PSUAMS-4902)"
"3315-2928 calBCE (4425±20 BP, PSUAMS-4944)"
"1731-1520 calBCE (3335±30 BP, PSUAMS-2124)"
"1621-1518 calBCE (3310±20 BP, PSUAMS-2511)"
"1613-1508 calBCE (3290±20 BP, PSUAMS-2607)"
"1612-1506 calBCE (3285±20 BP, PSUAMS-2608)"
"1870-1631 calBCE (3425±20 BP, PSUAMS-2921)"
"1863-1628 calBCE (3415±20 BP, PSUAMS-2942)"
"1876-1687 calBCE (3445±20 BP, PSUAMS-2981)"
"1531-1442 calBCE (3230±20 BP, PSUAMS-2978)"
"1873-1622 calBCE (3420±30 BP, Beta-391199)"
"1496-1298 calBCE (3130±30 BP, Beta-391198)"
"1863-1628 calBCE (3415±20 BP, PSUAMS-2961)"
"1743-1623 calBCE (3395±20 BP, PSUAMS-2546)"
"1863-1628 calBCE (3415±20 BP, PSUAMS-2912)"
"1743-1623 calBCE (3395±20 BP, PSUAMS-2939)"
"1732-1542 calBCE (3350±20 BP, PSUAMS-2991)"
"1862-1624 calBCE (3410±20 BP, PSUAMS-2913)"
"1749-1617 calBCE (3395±25 BP, PSUAMS-2543)"
"1936-1770 calBCE (3530±20 BP, PSUAMS-3099)"
"1742-1621 calBCE (3390±20 BP, PSUAMS-2545)"
"1881-1693 calBCE (3465±25 BP, PSUAMS-2122)"
"1867-1625 calBCE (3415±25 BP, PSUAMS-2123)"
"1729-1538 calBCE (3345±20 BP, PSUAMS-2611)"
"1621-1518 calBCE (3310±20 BP, PSUAMS-2962)"
"1612-1465 calBCE (3270±20 BP, PSUAMS-2544)"
"1741-1549 calBCE (3370±20 BP, PSUAMS-2915)"
"1600-1447 calBCE (3250±20 BP, PSUAMS-2612)"
"1613-1508 calBCE (3290±20 BP, PSUAMS-2613)"
"810-551 calBCE (2570±35 BP, PSUAMS-7609)"
"1675-1532 calBCE (3330±20 BP, PSUAMS-2499)"
"1874-1642 calBCE (3435±20 BP, PSUAMS-3115)"
"1614-1461 calBCE (3270±25 BP, PSUAMS-2964)"
"1516-1436 calBCE (3220±20 BP, PSUAMS-2547)"
"1539-1446 calBCE (3245±20 BP, PSUAMS-2548)"
"1537-1436 calBCE (3235±25 BP, PSUAMS-3728)"
"1739-1546 calBCE (3365±20 BP, PSUAMS-2492)"
"1729-1538 calBCE (3345±20 BP, PSUAMS-3183)"
"1599-1436 calBCE (3240±25 BP, PSUAMS-2502)"
"1498-1409 calBCE (3165±20 BP, PSUAMS-6971)"
"1613-1503 calBCE (3280±20 BP, PSUAMS-6929)"
"1382-1134 calBCE (3015±20 BP, PSUAMS-2614)"
"2134-1936 calBCE (3645±25 BP, PSUAMS-2079)"
"1115-932 calBCE (2860±20 BP, PSUAMS-2540)"
"1046-900 calBCE (2810±25 BP, PSUAMS-2080)"
"1190-999 calBCE (2885±20 BP, PSUAMS-2507)"
"1200-1012 calBCE (2905±20 BP, PSUAMS-2512)"
"1216-1052 calBCE (2935±20 BP, PSUAMS-2515)"
