"Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"
"1217-1055 calBCE (2940±20 BP, PSUAMS-6309)"
"1277-1059 calBCE (2970±25 BP, PSUAMS-6310)"
"5980-5771 calBCE (6985±30 BP, PSUAMS-6307)"
"5980-5771 calBCE (6985±30 BP, PSUAMS-6307)"
"6058-5889 calBCE (7090±35 BP, PSUAMS-6308)"
"6058-5889 calBCE (7090±35 BP, PSUAMS-6308)"
"1217-1055 calBCE (2940±20 BP, PSUAMS-6309)"
"50-340 calCE (2325±15 BP, UCIAMS-86237)"
"3646-3527 calBCE (4817±28 BP, MAMS-14945)"
"3954-3773 calBCE (5050±29 BP, MAMS-14949)"
"756-416 calBCE (2457±29 BP, SUERC-96764)"
"749-403 calBCE (2425±29 BP, SUERC-96766)"
"337-52 calBCE (2118±24 BP, SUERC-96204)"
"174-45 calBCE (2097±23 BP, SUERC-96202)"
"170 calBCE - 90 calCE (2098±29 BP, SUERC-96765)"
"3083-2912 calBCE (4373±23 BP, SUERC-96207)"
"3088-2914 calBCE (4381±23 BP, SUERC-96206)"
"2567-2301 calBCE (3987±23 BP, SUERC-96208, marine calibrated)"
"4241-4050 calBCE (5315±21 BP) [R_combine: (5336±24 BP, SUERC-96213); (5263±38 BP, OxA-12542)]"
"4228-3968 calBCE (5304±24 BP, SUERC-96212, marine calibrated)"
"4234-3979 calBCE (5328±23 BP, SUERC-96214, marine calibrated)"
"771-958 calCE (1220±15) [R_combine: (1220±20, PSUAMS-1617); (1220±20 BP, PSUAMS-1618)]"
"795-1115 calCE (1320±20 BP, PSUAMS-1619)"
"1040-1210 calCE (950±30 BP, Poz-83481)"
"1301-1396 calCE (665±15 BP, PSUAMS-7821)"
"1155-1260 calCE (890±20 BP, PSUAMS-6819)"
"10420-9450 calBCE (10415±40 BP, PSUAMS-5282)"
"10420-9450 calBCE (10415±40 BP, PSUAMS-5282)"
"3360-2930 calBCE [union of two dates: (4720±40 BP, Beta-254447); (4680±25 BP, UGAMS-4600)]"
"1230-1380 calCE (760±20 BP, PSUAMS-1870)"
141-1631 calCE (428±46 BP) [R_combine: union of two dates: (B-4996); (B-5006)]
"4246-4052 calBCE (5325±20 BP, UCIAMS-140250)"
"4230-3967 calBCE (5240±40 BP, Beta-233122)"
"4315-3997 calBCE (5310±40 BP, Beta-233123)"
"789-568 calBCE (2535±15 BP, UCIAMS-169836)"
"891-797 calBCE (2660±15 BP, UCIAMS-169832)"
"810-675 calBCE (2585±25 BP, UCIAMS-169833)"
"809-779 calBCE (2610±20 BP, UCIAMS-172395)"
"795-567 calBCE (2545±20 BP, UCIAMS-169835)"
"795-567 calBCE (2545±20 BP, UCIAMS-172396)"
"774-549 calBCE (2510±15 BP, UCIAMS-135086)"
"774-549 calBCE (2510±15 BP, UCIAMS-179777)"
"1501-1421 calBCE (3185±20 BP, UCIAMS-233623)"
"4713-4548 calBCE (5786±30 BP, SUERC-50664)"
"5841-5723 calBCE (6900±25 BP, PSUAMS-5336)"
"1300-1398 calCE (620±20 BP, PSUAMS-7387)"
"1271-1378 calCE (710±20 BP, PSUAMS-7386)"
"1302-1400 calCE (610±20 BP, PSUAMS-7355)"
"1267-1299 calCE (720±20 BP, PSUAMS-7292)"
"1192-1005 calBCE (2890±20 BP, PSUAMS-6927)"
"2282-2032 calBCE (3740±35 BP, Poz-84460)"
"3634-3382 calBCE (4750±25 BP, PSUAMS-8271)"
"3519-3370 calBCE (4670±30 BP, PSUAMS-10053)"
"3933-3655 calBCE (4990±25 BP, PSUAMS-4231)"
"4227-3986 calBCE (5260±20 BP, PSUAMS-4404)"
"3705-3635 calBCE (4880±20 BP, PSUAMS-4232)"
"3634-3522 calBCE (4765±20 BP, PSUAMS-4233)"
"3774-3650 calBCE (4945±25 BP, PSUAMS-3997)"
"3654-3530 calBCE (4840±25 BP, PSUAMS-3879)"
"3633-3524 calBCE (4770±20 BP, PSUAMS-4235)"
"3710-3635 calBCE (4890±25 BP, PSUAMS-4234)"
"2457-2209 calBCE (3860±25 BP, PSUAMS-10090)"
"2561-2306 calBCE (3935±25 BP, PSUAMS-3887)"
"2464-2290 calBCE (3885±25 BP, PSUAMS-3888)"
"2456-2204 calBCE (3850±25 BP, PSUAMS-4026)"
"2127-1900 calBCE (3630±25 BP, PSUAMS-10015)"
"2122-1926 calBCE (3630±20 BP, PSUAMS-10091)"
"2133-1946 calBCE (3650±20 BP, PSUAMS-10122)"
"387-208 calBCE (2245±20 BP, PSUAMS-10086)"
"771-543 calBCE (2495±20 BP, PSUAMS-10021)"
"771-541 calBCE (2490±20 BP, PSUAMS-10022)"
"396-210 calBCE (2270±20 BP, PSUAMS-10020)"
"370-197 calBCE (2210±20 BP, PSUAMS-10093)"
"370-197 calBCE (2210±20 BP, PSUAMS-9773)"
"381-203 calBCE (2230±20 BP, PSUAMS-10095)"
"394-208 calBCE (2260±20 BP, PSUAMS-10096)"
"385-206 calBCE (2240±20 BP, PSUAMS-10101)"
"391-208 calBCE (2255±20 BP, PSUAMS-10120)"
"387-208 calBCE (2245±20 BP, PSUAMS-10121)"
"166-44 calBCE (2085±20 BP, PSUAMS-9715)"
"355-114 calBCE (2165±20 BP, PSUAMS-10123)"
"358-170 calBCE (2185±20 BP, PSUAMS-10055)"
"361-177 calBCE (2200±20 BP, PSUAMS-10125)"
"359-172 calBCE (2190±20 BP, PSUAMS-10127)"
"381-203 calBCE (2230±20 BP, PSUAMS-10080)"
"452-382 calBCE (2340±20 BP, PSUAMS-10103)"
"1117-931 calBCE (2860±25 BP, PSUAMS-10016)"
"1192-1005 calBCE (2890±20 BP, PSUAMS-9771)"
"1108-928 calBCE (2850±20 BP, PSUAMS-9996)"
"1196-1010 calBCE (2900±20 BP, PSUAMS-10017)"
"971-830 calBCE (2755±20 BP, PSUAMS-10094)"
"1207-1016 calBCE (2915±25 BP, PSUAMS-9997)"
"1192-1005 calBCE (2890±20 BP, PSUAMS-10102)"
"1001-836 calBCE (2775±25 BP, PSUAMS-10024)"
"3636-3526 calBCE (4785±25 BP, PSUAMS-10118)"
"429-550 calCE (1575±20 BP, PSUAMS-10119)"
"892-992 calCE (1110±20 BP, PSUAMS-10059)"
"1653-1950 calCE (205±15 BP, PSUAMS-10054)"
"3598-3371 calBCE (4690±25 BP, PSUAMS-10098)"
"3504-3348 calBCE (4615±25 BP, PSUAMS-10117)"
"3516-3367 calBCE (4655±25 BP, PSUAMS-10085)"
"1206-1017 calBCE (2915±20 BP, PSUAMS-10099)"
"1192-1005 calBCE (2890±20 BP, PSUAMS-7291)"
"1038-1160 calCE (935±20 BP, PSUAMS-7289)"
"211-326 calCE (1805±20 BP, PSUAMS-7290)"
"1228-1280 calCE (765±15 BP, PSUAMS-8189)"
"651-772 calCE (1340±15 BP, PSUAMS-8176)"
"1221-1268 calCE (805±15 BP, PSUAMS-8181)"
"1225-1271 calCE (790±15 BP, PSUAMS-8182)"
"1290-1390 calCE (650±15 BP, PSUAMS-8183)"
"1422-1454 calCE (465±20 BP, PSUAMS-8797)"
"1423-1455 calCE (460±20 BP, PSUAMS-7407)"
"1287-1392 calCE (650±20 BP, PSUAMS-7389)"
"1225-1271 calCE (790±15 BP, PSUAMS-8978)"
"1442-1616 calCE (405±20 BP, PSUAMS-8969)"
"1404-1440 calCE (510±20 BP, PSUAMS-9169)"
"1414-1450 calCE (480±20 BP, PSUAMS-7393)"
"1275-1300 calCE (705±15 BP, PSUAMS-8973)"
"1322-1410 calCE (570±15 BP, PSUAMS-8970)"
"1409-1440 calCE (500±15 BP, PSUAMS-9167)"
"1036-1158 calCE (945±15 BP, PSUAMS-8971)"
"708-884 calCE (1215±20 BP, PSUAMS-7367)"
"1302-1398 calCE (615±15 BP, PSUAMS-8974)"
"661-775 calCE (1305±20 BP, PSUAMS-8830)"
"652-774 calCE (1330±20 BP, PSUAMS-9165)"
"675-774 calCE (1275±15 BP, PSUAMS-5330)"
"884-994 calCE (1120±25 BP, PSUAMS-5331)"
"8-123 calCE (1960±20 BP, PSUAMS-7385)"
"1226-1278 calCE (776±19 BP, DSH-7154)"
"1160-1257 calCE (855±20 BP, PSUAMS-7388)"
"1212-1271 calCE (815±20 BP, PSUAMS-8977)"
"1227-1283 calCE (760±20 BP, PSUAMS-7296)"
"1305-1403 calCE (600±20 BP, PSUAMS-7297)"
"893-995 calCE (1090±15 BP, PSUAMS-9164)"
"1276-1384 calCE (690±20 BP, PSUAMS-7288)"
"1437-1610 calCE (415±20 BP, PSUAMS-7298)"
"1402-1431 calCE (525±15 BP, PSUAMS-8179)"
"1307-1407 calCE (590±20 BP, PSUAMS-8806)"
"1419-1451 calCE (475±20 BP, PSUAMS-8807)"
"1271-1378 calCE (710±20 BP, PSUAMS-7354)"
"1232-1285 calCE (750±15 BP, PSUAMS-8178)"
"1033-1158 calCE (950±15 BP, PSUAMS-8190)"
"1030-1155 calCE (960±15 BP, PSUAMS-8191)"
"1026-1154 calCE (970±15 BP, PSUAMS-8192)"
"1266-1290 calCE (735±15 BP, PSUAMS-8202)"
"1282-1389 calCE (665±20 BP, PSUAMS-8798)"
"1026-1154 calCE (970±15 BP, PSUAMS-9168)"
"897-1024 calCE (1070±20 BP, PSUAMS-8808)"
"609-665 calCE (1388±15 BP) [R_combine: (1415±20 BP, PSUAMS-11043), (1360±20 BP, PSUAMS-7357)]"
"667-774 calCE (1290±20 BP, PSUAMS-7358)"
"1176-1267 calCE (830±20 BP, PSUAMS-8809)"
"1419-1451 calCE (475±20 BP, PSUAMS-8810)"
"1318-1407 calCE (585±15 BP, PSUAMS-9152)"
"1021-1154 calCE (980±20 BP, PSUAMS-8799)"
"1444-1618 calCE (400±20 BP, PSUAMS-7390)"
"899-1023 calCE (1070±15 BP, PSUAMS-9154)"
"897-1024 calCE (1070±20 BP, PSUAMS-8800)"
"1421-1447 calCE (480±15 BP, PSUAMS-9155)"
"679-823 calCE (1255±15 BP, PSUAMS-9156)"
"1157-1219 calCE (880±15 BP, PSUAMS-9157)"
"991-1115 calCE (1015±20 BP, PSUAMS-7359)"
"893-1019 calCE (1085±20 BP, PSUAMS-8801)"
"1232-1285 calCE (750±15 BP, PSUAMS-9158)"
"1397-1437 calCE (525±20 BP, PSUAMS-8802)"
"1277-1384 calCE (685±20 BP, PSUAMS-8803)"
"1041-1174 calCE (920±15 BP, PSUAMS-9166)"
"773-890 calCE (1190±20 BP, PSUAMS-8804)"
"893-995 calCE (1095±15 BP, PSUAMS-9161)"
"899-1026 calCE (1060±20 BP, PSUAMS-7360)"
"993-1151 calCE (995±20 BP, PSUAMS-8805)"
"1226-1279 calCE (770±20 BP, PSUAMS-8972)"
"1023-1154 calCE (975±20 BP, PSUAMS-8966)"
"992-1038 calCE (1010±15 BP, PSUAMS-8967)"
"1024-1155 calCE (970±20 BP, PSUAMS-8306)"
"1029-1154 calCE (965±15 BP, PSUAMS-9153)"
"991-1036 calCE (1020±20 BP, PSUAMS-7361)"
"675-823 calCE (1260±20 BP, PSUAMS-8979)"
"1296-1394 calCE (635±15 BP, PSUAMS-7285)"
"1309-1403 calCE (595±15 BP, PSUAMS-8188)"
"1278-1388 calCE (675±20 BP, PSUAMS-8795)"
"1282-1388 calCE (665±15 BP, PSUAMS-8180)"
"1222-1273 calCE (793±20 BP, DSH-7155)"
"1327-1433 calCE (536±18 BP, DSH-7159)"
